,TSLA,GOOGL
195,Technology stocks tumble — this is how you will know when to buy them again,Biden finalized his plan to rein in Big Tech. Big Tech wasn’t invited.
196,WARREN BUFFETT Buffett’s Berkshire Chases Musk’s Tesla on Market Value,OPINION Big investors are favoring large-cap stocks for the rest of 2022 — maybe you should too
197,MUTUAL FUNDS This Fund Has Found the Sweet Spot Between Growth and Value,"Yes, it could happen to you. Like the water crisis in Jackson, Miss., other U.S. cities are vulnerable to climate-change disaster"
198,M&A Elon Musk Is Overpaying for Twitter—by a Huge Amount. Here’s the Math.,‘Buy your mom an iPhone’: Tim Cook says Apple doesn’t prioritize texting experience between iPhones and Android
199,NEWS Elon Musk Takes Over Twitter. He’s Already Making Big Moves.,ADVISOR INVESTING Single-Stock ETFs Are Mushrooming. What to Know.
200,AUTOS Tesla Investors Have One Less Worry: Stock Sales for the Twitter Deal,"ADT confirms new investments from State Farm, Alphabet's Google"
201,Dogecoin jumps 10% as Musk’s Twitter takeover spurs hope for wider adoption,"ADT stock soars, after WSJ report of $1.5 billion in investment from State Farm, more money from Google"
202,AUTOS Self-Driving Cars Aren’t Dead. Lessons From Ford’s Big Flop.,"Apple, Tesla and Amazon stocks in danger of 1st closes below 50-DMAs in nearly 2 months"
203,AUTOS Tesla Faces DOJ and SEC Probes Over Autopilot Technology,Here are the worst (and best) performing stocks of August and for 2022
204,"Elon Musk completes Twitter purchase, fires CEO and other top execs: reports",TECHNOLOGY Top YouTube Executive Leaves as Competition From TikTok Grows
205,"M&A Elon Musk Closes Deal for Twitter, According to Reports",TECHNOLOGY This Analyst Likened TikTok and Reels to ‘Crack.’ What He Really Meant.
206,Why a strong U.S. dollar might benefit crypto in the long term,"YouTube’s top business exec, Robert Kyncl, is departing after more than a decade"
207,Tesla Cyberquad ATV recalled after failure to comply with federal safety standards,"TECHNOLOGY Apple, Alphabet, and Other Big Tech Stocks Extend Losses"
208,M&A Elon Musk’s Twitter Purchase Near Closing as Banks Deposit Cash,"As Congress flounders in Big Tech regulation push, the FTC isn’t waiting around"
209,"OPINION Your future dream home may include a solar array, a drone farmer and a robot like Tesla’s Optimus",Justice Department may be readying potential antitrust lawsuit against Apple: report
210,Tesla facing criminal investigation into Autopilot claims: report,OPINION Democrats promised to rein in Big Tech. They have failed.
211,AUTOS Another EV Price Cut In China. This Is Getting Real.,Google and academic research finds brief videos teaching critical-thinking skills can inoculate viewers against disinformation
212,"Planet will top 2 degrees of warming without quicker climate action, U.N. warns",MEDIA Why Apple Might Push Deeper Into Sports Streaming
213,LG Energy Solution Raises 2022 View To Rev KRW25T From KRW22T >373220.SE,TECHNOLOGY Tech Stocks Sell Off Because the Fed Is Willing to Tolerate ‘Some Pain’
214,AUTOS GM Grabs EV Market Share From Tesla. It Eyes More Gains Down the Road.,"Six months after Russia invaded Ukraine, Moral Rating Agency’s ‘Courage Index’ analyzes companies’ statements on Kremlin’s aggression"
215,OPINION This one stock stands out when looking at key data from the FAANG+ group,Fitbit to release 3 new fitness trackers this fall
216,AUTOS Tesla Stock Price Targets March Lower as Bearish Options Activity Moves Higher,TECHNOLOGY Palo Alto Networks Stock Soars on Strong Earnings and 3-for-1 Stock Split
217,U.S.’s first interstate EV charging network for semi-trucks to connect California port with Texas,"As Silicon Valley looks to cut back, service workers fear they could be first to go"
218,INDUSTRIALS NIO Stock Is Flying on Upbeat Results. It’s Still Way Down for 2019.,These stock pickers have beaten their benchmark while giving fund holders needed diversification
219,"Nio stock bounces, after suffering biggest selloff in more than 2 years",MARKETS Tech’s Rally Is Too Good to Be True. Why the Nasdaq Looks Due for Another Fall.
220,"Tesla stock falls, but these bulls aren’t sweating vehicle price cuts in China",How To Invest In Space Tourism
221,"Tesla isn’t immune to a spending slowdown, Morgan Stanley says while cutting price target","Google workers demand abortion protections for contractors, better data privacy for users"
222,"AUTOS Tesla Discloses Bitcoin Gains, Inventories, and Other Tidbits","Streaming usage surpasses cable for share of TV viewing for first time, Nielsen says"
223,AUTOS Tesla Stock Falls. It’s All About China.,"‘Serenity Now’: Hedge fund managed by Michael Burry of ‘The Big Short’ fame dumps stocks including Apple and Alphabet, adds GEO Group"
224,AUTOS Cathie Wood Knows How Tesla Can Juice Its Sales: Cut Costs in Half,Value of stocks Tiger Global Management held was more than halved during the second quarter
225,AUTOS Chinese EV Stocks Are Getting Hammered. It Isn’t All About Xi Jinping.,MUTUAL FUNDS Why Index Funds Could Fade
226,"WARREN BUFFETT Watch Out, Tesla. Berkshire Hathaway Is Now Worth as Much as Elon Musk’s EV Maker.",FTC looks to hammer out rules to rein in tech companies’ data collection
227,AUTOS Tesla Stock Could Rebound in 3 Months. Here’s What it Would Take.,TECHNOLOGY Akamai Earnings Top Estimates. Where Its CEO Sees Opportunity.
228,M&A It’s a Pivotal Week for Twitter and Elon Musk. Here Are the 3 Questions That Remain.,Justice Department expected to file antitrust lawsuit against Google as soon as September: report
229,Tesla cuts prices for some vehicles in China: reports,TECHNOLOGY Alphabet and 7 More Stocks Wall Street Loves That Aren’t Too Pricey
230,"EV sales are getting hotter, and these are the cars catching up to Tesla",Google Search suffers rare but brief outage Monday night
231,"Contemporary Amperex Technology 3Q Net CNY9.42B, Up 188% on Year >300750.SZ",Montblanc’s Summit 3 Smartwatch Has Brains Plus Beauty
232,ASSET ALLOCATION The Best News About 60/40’s Historically Bad Year? It’ll End Eventually.,MEDIA Roku Gets Another ‘Sell’ Rating. Blame Earnings and Competition.
233,"AUTOS Tesla, EV Makers Face Rising Battery Prices, Supplier’s Earnings Show",AUTOS Tesla Sets Its Stock Split Date. Let Pre-Split Trading Begin.
234,AUTOS Cathie Wood Is Buying Tesla Stock. She’s Been Right About It This Year.,MEDIA Advertising Is Still Going Strong. Apple Wants In.
235,TECHNOLOGY The Bad News for Apple in Tesla’s Earnings,TRAVEL Booking’s Earnings Top Estimates but the Stock Falls on a Softer Third-Quarter Outlook
236,TECHNOLOGY Elon Musk Downplays the Chances of a Twitter Tie-Up With Tesla and SpaceX,"Why Roku’s stock deserves a fresh look, according to Citi"
237,BARRON'S Here’s Why Tesla Can’t Go Far in China,TECHNOLOGY Where Is Roku Stock Heading? Watch YouTube.
238,"BARRON'S Gas Prices are About to Rise, But It Won’t Help Tesla",TECHNOLOGY Arista Stock Jumps. Strong Demand for the Cloud Boosted Earnings.
239,Elon Musk plans deep layoffs of 75% at Twitter: report,TECHNOLOGY Pinterest Stock Soars. Its Ad Business Shined.
240,AUTOS Tesla’s Quarter Draws Wall Street’s Concern but No Downgrades,TRAVEL Airbnb and Other Travel Earnings Are Coming. The Forecast for Travel Is Murky.
241,Government bonds are eroding crypto’s appeal for investors seeking rich yields. But some are staying.,NORTH AMERICA The Dollar Has Been a Problem for Stocks. Now It Could Boost Them.
242,AUTOS Tesla Stock Drops After Earnings—and Even Musk Can’t Calm the Unease,"OPINION Big Tech shows its good to be big, as growth slowdown leads to stock gains while smaller rivals find only pain"
243,Stocks finish with second straight loss as Treasury yields grind higher,TECHNOLOGY Big Tech’s Reign Isn’t Over Yet. These Stocks Look Like Strong Buys.
244,"Nio stock bounces, even after Tesla CEO Elon Musk says China seeing 'burst of recession'",MARKETS Investing-Intensive Gen Z Confronts a Bear Market
245,A surge in coal and oil emissions was expected with Russia’s war and a COVID recovery — here’s what actually happened,"TECHNOLOGY Amazon Cut Its Staff by Almost 100,000 in the June Quarter"
246,Tesla stock price target raised to $325 from $315 at BofA Securities,TECHNOLOGY Stock Gains for Apple and Amazon Lift All of Big Tech
247,Tesla stock sinks 8.3% toward 16-mo. low after Q3 results late Wed.,MARKETS Hedge Funds Aren’t Buying Big Tech. Secular Growth Stocks Are Hot Now.
248,"BREAKING U.S. stocks open modestly lower as Treasury yields hit 14-year high, UK prime minister resigns",MARKETS The Market Could Fall Some More. These Stocks Are Most Vulnerable.
249,Stocks are attempting a bounce as earnings season begins. Here’s what it will take for the gains to stick.,MARKETS Nasdaq Soars as Fed Raises Rates Again—and What Else Happened in the Stock Market Today
250,Elon Musk teases massive Tesla stock buyback as CFO trims forecast for annual deliveries and stock falls,Nasdaq surges 4% in best day since April 2020 after Fed delivers expected interest rate rise
251,"Elon Musk ‘excited’ by Twitter’s potential, even though he’s overpaying",TECHNOLOGY Alphabet’s Earnings Weren’t a Disaster. That Was Enough for Wall Street.
252,OPINION Elon Musk pumps Tesla stock with ridiculous $4 trillion target. Is a dump coming next?,BREAKING Google parent Alphabet buying massive downtown Chicago building from state of Illinois
253,"Annoyed by ‘curt and almost dismissive’ Elon Musk, one Wall Street analyst sees cracks emerging in Tesla",Google shares rise as search delivers resiliency in tough macro environment
254,"MARKETS Tesla Bigger Than Apple and Saudi Aramco Combined? Dream On, Investors Tell Musk.","Alphabet stock bounces 3.6% premarket on back of Q2 results, after closing Tuesday at 16-mo. low"
255,Tesla stock price target cut to $340 from $400 at CFRA,"TECHNOLOGY Alphabet’s Earnings Missed, but Ad Revenue Was Better Than Feared"
256,Tesla stock price target cut to $300 from $360 at Wedbush,"TECHNOLOGY Alphabet, Microsoft, Shopify and More Wednesday Morning Stock Movers"
257,Tesla stock price target cut to $330 from $370 at Mizuho,"Google stock rises despite an ad downturn, second straight earnings decline"
258,"BREAKING Elon Musk: It is possible for Tesla to do a stock buyback of $5 billion to $10 billion, pending board review and approval",OPINION Google and Microsoft earnings show the bar has been lowered for Big Tech
259,"Tesla earnings are coming, but do record deliveries mask a demand problem?",Another Leg Lower
260,11 more crash deaths are linked to automated-driving systems,"MARKETS If the Fed’s Job Is to Tame Inflation, Workers Will Feel More Pain"
261,"AUTOS A Tesla Stock Sale Is Coming. We Know Who, Why, and When, but Not How Much.",Alphabet stock price target cut to $150.00 from $187.50 at Susquehanna
262,AUTOS Tesla Stock Has Gotten Hammered Heading Into Earnings. 3 Things to Watch.,"MARKETS The Dow Slipped, Walmart Tanked — and What Else Happened in the Stock Market Today"
263,AUTOS Tesla Could Be a ‘Zombie Stock’ as Interest Rates Rise,Big Tech earnings are about to determine the direction of the market
264,"AUTOS Buffett-Backed BYD Reports Solid Numbers. There Is a Silver Lining for Tesla, Too.",TECHNOLOGY A 3-Day Tech Earnings Deluge Begins. Here Are the Key Issues to Track.
265,ENERGY Lithium Demand Is Soaring. Wall Street’s Enthusiasm Isn’t.,"Google may be the safest of the digital-advertising giants, but that isn’t saying much right now"
266,"REGULATION Why Tech Won’t Give Up on Silicon Valley, Despite Rising Regulation",Alphabet stock price target cut to $125 from $153 at KeyBanc Capital
267,REGULATION Will California Lead the Country—or Just Alienate Business?,Here are 5 things we’ve learned so far from earnings season
268,AUTOS Mercedes Unveils a New EV in Paris. Don’t Call It a Tesla Model Y Competitor.,This robot-driven macro fund is outperforming its peers. Here’s the good and bad news it has for markets.
269,"Netflix and Tesla stocks are not having a good year, but here comes a chance to turn it around",MARKETS The Stock Market Is Entering Its Weakest Months. What to Watch Out For.
270,"Tesla stock rises 2.1% premarket, after closing at a 16-month low on Friday",Elon Musk denies alleged affair with Google co-founder Sergey Brin's wife as 'total bs'
271,Ukraine envoy hopeful about finding funding for Elon Musk’s Starlink network,"Alphabet stock rallied 1.0% premarket, after dropping 5.6% Friday to close at a 5-wk. low"
272,Musk has a ‘super app’ plan for Twitter. It’s super vague,It’s the end of ‘fantasyland’ for Big Tech and its workers
273,AUTOS Tesla Stock Is Too Cheap. It Should Start Buying Back Its Own Shares.,Elon Musk’s alleged affair with Sergey Brin’s wife led to falling out between billionaires
274,Tesla Stock Falls as Wells Fargo Cites Demand Concerns,"OPINION ‘People will freak out’: The cloud boom is coming back to Earth, and that could be scary for tech stocks"
275,CRYPTOCURRENCIES A Shake-Up to Accounting Rules Is Coming to Crypto. It Will Impact Tesla and Others.,"Snap’s ‘grim outlook’ sends stock on near-40% skid, slaps other social names"
276,"Nio shorts may have covered too soon, as EV maker’s stock sinks to more than 2-year low",BARRON'S Snap’s Earnings Debacle Is Hurting Tech. Wall Street Is Scrambling to Respond.
277,BARRON'S Tesla: Elon Musk Wants to ‘Be the House’,TECHNOLOGY Snap Stock Plunges and Takes Meta and Twitter Down With It
278,BARRON'S Tesla: Time to Replace Elon Musk with Alfred P. Sloan?,"TECHNOLOGY Alphabet, Amazon Look Ready to Join the Dow After Stock Splits"
279,TECHNOLOGY Elon Musk Says SpaceX Can’t Fund Starlink ‘Indefinitely’ in Ukraine,MARKETS Magellan’s Manager Sours on Big Tech Stocks. Why Microsoft Is an Exception.
280,Twitter lawyers said Musk was being investigated over acquisition conduct,Alphabet stock price target cut to $145 from $155 at Stifel Nicolaus
281,"M&A Elon Musk Is Being Investigated by U.S. Authorities Over Deal, Twitter Claims","Snap stock plunges 25% as advertising slows down, executives decline to offer forecast"
282,Will bitcoin continue to outperform stocks for rest of the year?,"TECHNOLOGY Snap, Twitter, GameStop, and More Stock Market Movers Friday"
283,"Want that $7,500 EV tax break? Why buyers need to talk with an accountant and not just a car dealer","Alphabet, Meta Platforms stocks knocked down by Snap's selloff after disappointing earnings report"
284,AUTOS Good News for Tesla Investors: The Stock Is Now Oversold,Alphabet stock price target cut to $150 from $175 at Mizuho
285,"Nio, XPeng stocks bounce, after falling more than 20% amid 5-day losing streaks",YouTube to remove videos spreading abortion falsehoods
286,MARKETS Cathie Wood Says the Fed Is Making a Mistake. She’s Not the Only One.,Snap’s stock price rises more than 8% ahead of second-quarter earnings
287,AUTOS Lucid Recalls Some Cars Again. EV Makers Are Feeling Growing Pains.,MEDIA Why Netflix’s Earnings Weren’t Enough to Restore Confidence
288,AUTOS GM’s Competition With Tesla Heats Up. This Time It Isn’t About Cars.,"Dow closes 750 points higher as stocks surge, small caps see biggest advance in 18 months"
289,Ford stock is now a ‘sell’ at UBS as an oversupply problem looms,TECHNOLOGY Why Analysts Are Lowering Estimates for Meta and Alphabet
290,AUTOS Tesla China-Made Deliveries Hit Record. But Wholesale Numbers Don’t Matter.,Apple is latest Big Tech player to plan cost cuts: report
291,Tesla stock price target cut to $350 from $367 at UBS,"Google’s stock split won’t matter in a recession, analyst says"
292,AUTOS Rivian Is Recalling Nearly All Its Vehicles. Building Cars Is Hard.,Alphabet stock price target cut to $150 from $170 at Truist
293,Tesla reports monthly record for China sales,"ADVISOR INVESTING Tech News Today for Financial Advisors: Google Splits, IBM Reports, Musk Vacations"
294,AUTOS Tesla Won’t Stop Falling Until Musk Stops Selling. Here’s Where the Stock Is Headed.,"TECHNOLOGY Apple to Slow Hiring as Economy Softens, Report Says"
295,AUTOS Polestar Reported Strong EV Deliveries. Why the Stock Fell.,Alphabet split-adjusted stock price target cut to $140 from $165 at MKM Partners
296,"Dow books 630-point drop after strong jobs data rattles investors, but stocks cement weekly gains",TECHNOLOGY Google Parent Alphabet Starts Trading at Split-Adjusted Price
297,"COMPANIES Tesla’s Liquidity May Be Turning a Corner, Analyst Says","BANKS Bank of America, Goldman, Boeing, and More Stock Market Movers"
298,BARRON'S Tesla: A History of Model 3 Promises,Alphabet stock rallies after 20-for-1 stock split takes effect
299,"Tesla to deliver first Semi trucks to PepsiCo in December, Elon Musk says","If you believe in Amazon, its stock is now a bargain after falling 34% this year"
300,TRANSPORTATION Elon Musk Says First Tesla Semi Truck Deliveries Due for PepsiCo in December,"MARKETS The Recession Will Begin Soon, Says Top Economist. But the Bounceback Rally Will Be Strong."
301,Bitcoin miners see revenue tumble 80% from peak. Can they all survive?,TECHNOLOGY Pinterest Stock Soars as Activist Takes Stake
302,BREAKING Judge delays Twitter v. Elon Musk trial to allow deal to close,California social-media addiction bill drops text allowing parents to sue
303,TECHNOLOGY Musk’s Deal for Twitter Could Still Collapse. Watch the Banks.,Justice Department unlikely to accept Alphabet's concessions to avoid antitrust lawsuit: report
304,BONDS Tesla Stock Gets a Little Good News: S&P Upgrades Tesla Bonds,MEDIA Netflix Surprised Everyone by Picking Microsoft as Its Partner for Ad-Supported Streaming
305,Tesla credit rating upgraded 2 notches out of 'junk' territory at S&P Global Ratings,"TECHNOLOGY The Street Is Cutting Estimates on Meta, Alphabet. This Analyst Weighed In, Too."
306,TECHNOLOGY Elon Musk ‘Should Own Twitter by Next Week’,TECHNOLOGY Apple Isn’t Recession-Proof. Why 1 Analyst Sees 15% Downside For The Stock.
307,"Elon Musk would lose 13.5 million Twitter followers if he scraps most spam accounts, data analysis finds. Justin Bieber would lose 27.6 million.",Google plans to scale back hiring this year: report
308,"For Elon Musk, buying Twitter would be the easy part — analysts say the real mess lies ahead","Apple, Amazon, Tesla stocks dive into the red after inflation data"
309,"Elon Musk grabs Twitter, but how will he manage his growing empire?",TECHNOLOGY Google Is the Latest Tech Company to Slow Hiring
310,AUTOS Tesla Has a Lot Going Right. So Why Is This Analyst Cutting His Price Target?,MARKETS Inflation Data Aren’t the Fed’s Biggest Problem Anymore
311,"Elon Musk buying Twitter ‘puts our democracy at stake,’ civil-rights advocates say",MARKETS Earnings Season Brings Another Risk for Stocks—Shrinking Profit Margins
312,Tesla stock price target cut to $370.00 from $391.67 at Mizuho,"Google countersues Match, seeking its ouster from app store"
313,Judge in Twitter lawsuit against Elon Musk says proceedings will continue,Twitter has more to worry about than Elon Musk
314,Elon Musk wants to move forward with his purchase of Twitter. Here’s how some Twitter users reacted.,"TECHNOLOGY Meta Stock Is a Sell. ‘Use It as a Source Of Funds,’ Analyst Says."
315,"Elon Musk’s legal battle with Twitter may be over, but his war with the SEC continues",COMPANIES Here Are the Top CEOs of 2022
316,TECHNOLOGY Elon Musk Says Twitter Purchase Is a Step Toward ‘Everything App’,Why Apple’s BNPL efforts could mark a ‘tipping point’ in lending
317,"OPINION Twitter stood up to Elon Musk and won, but will it feel like a win once he owns it?","TECHNOLOGY Google Wants to Settle With the DoJ Over Ads, Report Says. Why This Analyst Says It Won’t Happen."
318,TECHNOLOGY Elon Musk Is Still Tweeting and 4 Other Things for Tech Investors to Start the Day,Second Half Playbook
319,"Elon Musk says Twitter will eventually be part of ‘X, the everything app’","BARRON'S Sundar Pichai: Technology Should Be There ‘for You, When You Need It’"
320,Elon Musk would lose 13.5 million Twitter followers if he pushes through plan to eliminate spam accounts: CodeClan,Google in talks with regulators to head off potential antitrust lawsuit: report
321,MARKETS Elon Musk’s Challenge Is to Turn Twitter Into ‘Everything.’ And Make a Profit.,RETAIL GameStop Stock Is Falling. Layoffs and a CFO Change Undo Stock Split Optimism.
322,AUTOS Tesla Stock Swings Sharply as Musk Goes Ahead With Twitter Deal,MARKETS GameStop Is Splitting Its Stock. Amazon and Google Provide Clues on What Happens Next.
323,"M&A Twitter Stock’s Day: A Yawn, a Pop, a Halt, and a Huge Gain",TECHNOLOGY Here’s Why Analysts Are Cutting Estimates for Meta and Alphabet
324,M&A Elon Musk Is Ready to Move Forward With Twitter Deal. The Stock Surges.,U.S. stocks close mostly higher after staging a sharp intraday rebound
325,Twitter stock surges 22% after Elon Musk gives up bot battle and commits to $44 billion deal,"Tech giants fuel Nasdaq 100's surge, even as Dow, S&P 500 fall"
326,Dow finishes 825 points higher as stocks post strongest start to a quarter since 1938,"TECHNOLOGY Meta, Alphabet, and Other Internet Stocks Face a ‘Perfect Storm’ as Ad Spending Slows"
327,Tesla stock pulls way back after report CEO Elon Musk willing to buy Twitter at original bid price,TECHNOLOGY Alphabet Stock Could ‘Emerge Stronger on the Other Side.’ Why this Analyst Slashed His Price Target Anyway.
328,SPAC backing Trump's Truth Social hit by news Musk is again offering to acquire Twitter at original price,"Alphabet stock price target cut, but analyst says company set to ‘emerge stronger’ from turbulent times"
329,"Crypto companies and funds rally as bitcoin rise, Dow jumps 700 points","Alphabet stock price target cut to $2,900 from $3,500 at Monness Crespi Hardt"
330,Elon Musk sparks outrage in Ukraine over Russia tweets,"Alphabet stock falls 0.9% premarket, after dropping 7.8% amid 5-day losing streak through Friday"
331,AUTOS GM Adds Former Tesla Executive to Board of Directors,"Trump social-media firm subpoenaed by federal grand jury, securities regulators"
332,AUTOS Cathie Wood’s ARK Snaps Up Tesla After Stock Plunges on Deliveries Miss,These 10 stocks in the S&P 500 lost $4.2 trillion of investors’ money during the first half of 2022
333,AUTOS How Good for the Planet Is Your Tesla? That Depends Where You Live.,Think twice before you trade in your old smartphone or tablet — you could make more money ‘upcycling’ on resale sites
334,TECHNOLOGY Apple and Tesla Aren’t the Stocks They Were in August. Here’s What Has Changed.,Google says it will delete users’ location history for abortion clinic visits
335,"General Motors names ex-Tesla, Lyft exec Jonathan McNeill to its board","Despite plenty of talk, many U.S. companies have still not fully exited Russia: Moral Rating Agency"
336,Tesla’s Optimus bot: ‘High school science project’ or robotics game changer?,OPINION A Google engineer said an artificial-intelligence program came to life. This is why that couldn’t happen
337,"U.S. auto sales fall slightly in Q3, but GM is a bright spot",MARKETS Crypto Winter Is Coming After SEC Rejects Key Bitcoin ETF
338,TRANSPORTATION A ‘Steady’ Tesla Could Attract New Investors to the Stock,TECHNOLOGY An FCC Commissioner Wants TikTok Yanked From Apple and Google App Stores
339,AUTOS Logistics Not to Blame for Tesla’s Deliveries Miss. There Is a Much Bigger Reason.,"TECHNOLOGY What Google Parent Alphabet Would Be Worth If It Had to Break Up, According to an Analyst"
340,What if Musk loses the Twitter case but defies the court?,"TECHNOLOGY Amazon Shares Could Nearly Triple From Here, One Analyst Says"
341,AUTOS EVs Can Turn Anyone Into Race Car Drivers—Including Me,Pinterest CEO change suggests e-commerce push that would be ‘welcomed’ in current market
342,AUTOS Tesla Deliveries Set a Record. The Stock Is Falling.,TECHNOLOGY Pinterest Co-Founder Is Out as CEO. A Google Exec Will Take Over.
343,AUTOS Tesla’s Deliveries Missed the Mark. Why Analysts Aren’t Worried.,OPINION Pinterest’s new CEO faces rough road in getting users to buy instead of just pinning
344,Tesla Shares Drop After Deliveries Miss Expectations,Pinterest stock rallies after Google exec named CEO as Silbermann steps down
345,"Tesla busts latest AI moves, but stock falls as vehicle deliveries miss analysts’ targets","Alphabet stock price target cut to $2,800 from $3,200 at J.P. Morgan"
346,"Tesla reports record deliveries, but numbers are still shy of analysts’ targets",VALUE INVESTING The Value-Growth War: Who’s Ahead Right Now and What’s at Stake
347,Tesla stock price target cut to $400 from $415 at CFRA,"Top 5 U.S. companies losing a total of $260 billion in market cap, led by Apple and Amazon"
348,Tesla stock price target raised to $348 from $333 at Truist,Netflix co-CEO Sarandos says streaming service is bringing ads to platform
349,Tesla stock price target raised to $153 from $137 at J.P. Morgan,BONDS High-Yield Bonds Look Like Bargains After an Awful First Half
350,MARKETS It’s a New Quarter but Old Fears Are Making Markets Nervous,TECHNOLOGY Cracks Are Forming in Ad Spending. Google and Meta Stock Could Take a Hit.
351,"Now Tesla owners can charge on other networks (well, some of them can)","TECHNOLOGY As Netflix Explores Ad Partnerships, Google, Comcast, and Magnite Could Be Top Contenders"
352,"BARRON'S Tesla Hosted Its Second A.I. Day. This Time, a Robot Really Danced.",MARKETS Tesla Is Now a Top 5 Stock in Russell Indexes and Meta Is a Value Stock.
353,"OPINION Big selling wave in stocks makes for a buying opportunity, says Baron manager who has 20% of his fund’s assets in Tesla",TECHNOLOGY Alphabet and Meta Have an Ad Revenue Problem. What It Means for Their Stocks.
354,"AUTOS NIO, Li, XPeng Deliveries Have a Warning For Tesla","TECHNOLOGY Snowflake Stock Is Upgraded. It’s a Favorite Among CIOs, Analyst Says."
355,"Weekend reads: What to expect now for home prices, stocks and bonds",NBCUniversal and Google compete to help Netflix develop ad-supported tier
356,TRANSPORTATION Tiny Tesla Competitor Electrameccanica Vehicles’ Stock Is Soaring Today,DIVIDENDS Worried About a Recession? Consider Dividend Stocks.
357,BARRON'S Tesla Misses the Mark Again,"Stocks still have an ‘unusually high’ number of buy ratings despite inflation, recession worries"
358,Musk unveils Tesla robot that walks and waves. Optimus’s more complex capacities remain under wraps.,These software companies are unsung winners in the semiconductor industry
359,Here’s what to expect at Tesla AI day,COMPANIES This Tech Stock Looks Attractive—Even in a Recession
360,"Tesla Forecast Shows 4Q Boost, 2023 Growth in Vehicle Output, Documents Show -- Reuters","OPINION Delivery drones, robotaxis, even insurance — wildly hyped dreams for AI startups are giving tech investors nightmares"
361,"S.F. Bay Ferry dunks on Elon Musk’s floating Cybertruck: ‘Hurry, come ride before the Blade Runner Barge Armada puts us out of operation’","Amazon, Microsoft, McDonald’s and Citi to examine their impact on civil rights and racial equity. Will more companies follow suit?"
362,"Car-related stocks take it on the chin, with declines of up to 25% in one day",TECHNOLOGY TikTok Shifts All U.S. User Traffic to Oracle Cloud
363,Dow ends nearly 460 points lower as Nasdaq plunges after Apple downgrade; S&P 500 sets 2022 low,"Alphabet stock price target cut to $2,636 from $2,940 at BofA Securities"
364,Crypto CEOs are leaving their jobs. Here’s why,TECHNOLOGY Meta and Alphabet Could Take a Hit on Ad Sales if Economy Falls Into Recession
365,AUTOS CarMax Stock Drops on Big Earnings Miss. The Used-Car Boom Is Over.,"DIVIDENDS Buybacks, Dividends Set Records in the 1st Quarter. Recession Looms as Wild Card."
366,"AUTOS Tesla’s Deliveries May Disappoint, Analyst Says. He Cut His Stock-Price Target.","TECHNOLOGY YouTube Shorts Growth May Pressure Alphabet Earnings, Analyst Says"
367,"AUTOS Tesla A.I. Day Is Coming. Expect High-End Computing, Self-Driving Cars, and Robots.","Tesla tops list of crashes linked to driver-assist technology, feds say"
368,"Apple and Tesla are the ‘last bastions of hope’ for retail investors, say these analysts",Hearing on data-privacy bill reveals contours of latest best hope for tech regulation
369,Tesla names Airbnb co-founder to board,MARKETS The Fed Is Hiking Into a Bear Market. What Could Go Wrong?
370,TECHNOLOGY Elon Musk Is Sparring With Twitter Lawyers. Twitter Stock Gains on a Down Day.,S&P 500's top 10 companies have lost more than $1 trillion in market cap in 4 days
371,"Elon Musk heads list of richest Americans, while Mark Zuckerberg falls out of top 10",TECHNOLOGY Apple Keeps Growing in Music and Games. But They Barely Move the Sales Needle.
372,EV charging: All 50 states have the money to start building a network of stations every 50 miles,Tesla files for 3-for-1 stock split
373,AUTOS Tesla Q3 Delivery Results Are Coming. Watch This Spread.,Google to pay $118 million to female employees to settle equal-pay lawsuit
374,ENERGY Hertz Taps Oil Giant to Build EV Chargers,ENERGY Exxon May Be Making ‘More Than God.’ But Apple and Alphabet Are More Profitable.
375,Hertz and BP sign MOU to develop network of EV charging stations across North America,Meta takes another subtle step toward a much-hyped metaverse
376,COMPANIES The Bull Case and the Bear Case on Apple Stock,"MARKETS Companies Are Still Buying Back Stock. Which Ones to Favor, and Which Ones to Avoid."
377,COMPANIES Elon Musk Said Tesla Almost Died — and the Stock Market Shrugged,"TECHNOLOGY Sell Netflix Stock, Goldman Says. It Has Lost Two-Thirds of Its Value."
378,"Hertz, BP Ink North American EV Charging Deal",TECHNOLOGY Apple and Google Face a New Threat. Regulator Says They ‘Hold All the Cards.’
379,"Tesla, Take-Two and Exxon are among the exceptions to this big problem for stock prices","After three years of promises, attempt to regulate tech comes down to a single bill"
380,AUTOS Ford’s Oval-Gate Is the Cherry on Top of High Car Prices and Low Stock Values,Goldman slashes rating on Netflix and eBay to sell on caution around U.S. consumer
381,"AUTOS Energy Agency Has Good News on EVs, Gloomy Outlook on Carbon Emissions",ADVISOR INVESTING Tech Stocks to Buy in June After the Swoon
382,Tesla is recalling more than 1 million vehicles over window finger-pinching concern,TRANSPORTATION Is It Time to Buy Tesla Stock? This Analyst Thinks So.
383,Tesla countersues California agency that filed racial discrimination suit against it,"‘I thought it was a sick joke’: They gave up other job offers to work for Coinbase, and are now unemployed"
384,AUTOS Porsche Is Sued by a U.S. Dealership Ahead of the Sportscar Maker’s IPO,TECHNOLOGY Shopify Shareholders Approve 10-for-1 Stock Split and Plan to Keep CEO Firmly in Control
385,"How Ethereum’s Merge boosted adoption of the ecosystem, according to Polygon’s co-founder",OPINION I’ve never liked Facebook stock — and these 4 warnings beyond Sheryl Sandberg’s departure are why you shouldn’t either
